ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
154;9.4;-21.5;6.94;3.85;Pozitivno;Da
155;8.6;-14.0;7.1;4.7;Pozitivno;Ne
156;11.9;-16.4;7.2;5.08;Pozitivno;Da
157;11.2;-18.8;7.06;4.55;Pozitivno;Da
158;9.9;-20.3;6.43;5.4;Pozitivno;Ne
159;9.8;-22.1;6.95;5.59;Pozitivno;Da
160;9.5;-21.1;6.67;5.14;Pozitivno;Da
161;10.5;-24.7;6.98;5.73;Pozitivno;Da
162;7.9;-24.4;7.17;4.81;Pozitivno;Da
163;13.8;-20.1;6.8;4.66;Pozitivno;Da
164;13.5;-24.0;6.86;4.55;Pozitivno;Da
165;6.0;-10.5;7.0;5.82;Pozitivno;Da
166;13.5;-21.4;6.94;5.18;Pozitivno;Ne
167;7.5;-15.2;7.28;5.22;Pozitivno;Da
168;11.0;-9.9;6.82;5.39;Pozitivno;Ne
169;6.4;-25.2;7.33;4.91;Pozitivno;Ne
170;14.0;-13.1;7.03;4.2;Pozitivno;Da
171;10.5;-18.4;7.05;5.25;Pozitivno;Ne
172;11.1;-22.8;6.86;4.01;Pozitivno;Da
173;8.5;-23.3;6.92;4.58;Pozitivno;Da
174;9.8;-18.6;7.04;4.3;Pozitivno;Da
175;12.4;-19.5;7.08;4.49;Pozitivno;Da
176;8.6;-16.3;7.12;5.05;Pozitivno;Ne
177;11.1;-13.5;7.24;5.15;Pozitivno;Da
178;10.0;-24.3;6.73;5.42;Pozitivno;Da
179;10.9;-19.2;6.85;5.39;Pozitivno;Da
180;8.8;-22.1;7.39;5.02;Negativno;Da
181;10.7;-21.7;7.16;4.73;Pozitivno;Da
182;10.4;-7.6;6.84;5.29;Pozitivno;Da
183;10.4;-24.6;7.15;4.44;Negativno;Ne
184;11.6;-21.1;7.04;4.87;Pozitivno;Da
185;9.2;-19.7;6.94;5.92;Pozitivno;Da
186;9.5;-22.4;6.72;5.13;Pozitivno;Da
187;13.5;-26.3;7.13;5.79;Pozitivno;Da
188;9.0;-26.6;7.01;4.81;Pozitivno;Ne
189;9.0;-25.8;7.47;5.13;Negativno;Da
190;7.4;-26.5;7.0;4.45;Pozitivno;Da
191;9.9;-15.3;6.72;4.77;Pozitivno;Da
192;10.4;-21.7;7.19;5.03;Pozitivno;Da
193;7.8;-21.5;6.65;4.49;Pozitivno;Da
194;11.6;-26.5;6.99;5.38;Negativno;Da
195;7.9;-12.0;6.86;4.44;Pozitivno;Da
196;11.0;-22.2;6.97;4.7;Negativno;Da
197;7.7;-13.7;7.13;5.27;Pozitivno;Ne
198;11.8;-12.9;7.05;4.27;Negativno;Da
199;8.0;-16.7;7.0;5.17;Pozitivno;Ne
200;8.6;-14.2;6.73;5.15;Pozitivno;Da
201;9.2;-26.1;7.07;4.78;Pozitivno;Da
202;10.7;-20.1;6.98;5.4;Pozitivno;Ne
203;9.5;-16.9;7.13;5.2;Pozitivno;Da
204;10.3;-22.4;7.1;4.4;Pozitivno;Da
205;9.8;-14.5;7.07;5.12;Negativno;Ne
206;10.0;-22.1;7.05;4.12;Pozitivno;Da
207;11.7;-30.6;7.0;5.96;Pozitivno;Da
208;10.0;-19.7;6.92;5.6;Pozitivno;Da
209;10.9;-11.1;6.96;4.33;Pozitivno;Da
210;10.6;-21.9;6.78;5.36;Pozitivno;Da
211;9.3;-25.6;6.92;4.95;Pozitivno;Da
212;6.0;-17.0;7.31;4.56;Pozitivno;Da
213;8.6;-13.0;7.04;4.18;Pozitivno;Da
214;4.9;-13.8;7.15;5.09;Pozitivno;Ne
215;11.1;-17.0;7.09;5.02;Pozitivno;Da
216;11.7;-17.6;7.0;4.64;Pozitivno;Da
217;9.1;-12.7;6.6;5.0;Pozitivno;Da
218;10.6;-8.6;6.93;5.36;Pozitivno;Da
219;10.4;-20.3;7.27;5.27;Pozitivno;Da
220;9.0;-18.6;7.01;5.16;Pozitivno;Da
221;8.8;-29.7;7.13;5.29;Pozitivno;Da
222;9.6;-19.7;6.99;5.41;Pozitivno;Da
223;9.0;-10.7;6.58;4.98;Pozitivno;Da
224;8.0;-10.5;6.9;4.68;Pozitivno;Da
225;10.6;-30.9;6.8;5.52;Pozitivno;Da
226;13.6;-20.0;6.79;5.06;Pozitivno;Da
227;9.6;-16.9;6.88;5.14;Pozitivno;Da
228;10.2;-18.9;6.86;4.79;Pozitivno;Da
229;11.4;-27.4;6.76;5.59;Pozitivno;Da
230;11.4;-24.5;7.33;4.76;Pozitivno;Da
231;10.8;-30.8;6.76;5.71;Pozitivno;Da
232;10.0;-21.0;6.83;4.33;Pozitivno;Da
233;12.0;-21.1;7.05;5.44;Pozitivno;Da
234;7.6;-19.6;7.01;5.24;Pozitivno;Ne
235;11.2;-17.6;7.2;5.01;Negativno;Da
236;9.5;-20.5;7.08;4.5;Pozitivno;Da
237;11.0;-16.5;7.03;5.2;Pozitivno;Ne
238;12.5;-22.2;7.06;5.24;Pozitivno;Da
239;10.7;-15.2;6.83;5.67;Pozitivno;Da
240;8.2;-20.0;6.68;4.85;Negativno;Da
241;12.1;-24.5;6.82;5.98;Pozitivno;Da
242;12.5;-30.5;7.37;5.56;Pozitivno;Ne
243;8.0;-20.5;7.49;5.11;Pozitivno;Da
244;11.3;-25.0;7.08;5.29;Pozitivno;Da
245;10.1;-26.1;7.2;4.98;Pozitivno;Da
246;10.5;-17.2;7.05;5.04;Negativno;Da
247;10.4;-19.1;6.69;5.25;Pozitivno;Da
248;12.5;-23.7;7.27;4.95;Pozitivno;Da
249;12.3;-13.9;6.64;5.05;Pozitivno;Da
250;7.3;-16.0;6.96;4.93;Pozitivno;Da
251;13.4;-23.0;6.84;3.87;Pozitivno;Da
252;17.4;-23.2;6.94;4.36;Pozitivno;Da
253;13.6;-10.1;6.99;3.37;Pozitivno;Da
254;8.0;-26.4;7.02;3.81;Negativno;Da
255;16.9;-26.6;7.2;3.58;Pozitivno;Da
256;7.2;-21.3;7.3;4.06;Negativno;Da
257;15.5;-25.5;7.11;4.08;Pozitivno;Ne
258;15.8;-26.9;7.3;4.12;Pozitivno;Da
259;13.7;-11.2;7.24;3.7;Pozitivno;Da
260;7.1;-15.9;6.87;4.09;Pozitivno;Da
261;15.2;-18.0;6.75;4.19;Pozitivno;Da
262;14.6;-17.8;6.9;3.45;Pozitivno;Da
263;14.4;-10.6;7.09;3.68;Pozitivno;Da
264;8.3;-10.5;7.29;3.1;Pozitivno;Da
265;8.2;-24.6;6.96;4.07;Pozitivno;Ne
266;13.4;-20.2;7.06;3.63;Pozitivno;Da
267;13.8;-16.7;6.93;4.56;Pozitivno;Da
268;12.4;-23.0;6.93;3.23;Pozitivno;Da
269;13.6;-23.1;6.78;4.64;Pozitivno;Da
270;13.1;-23.7;6.87;3.29;Pozitivno;Da
271;7.9;-16.7;6.91;3.74;Pozitivno;Da
272;11.0;-22.2;6.98;4.38;Pozitivno;Da
273;15.0;-24.2;6.87;5.03;Pozitivno;Da
274;11.4;-19.0;7.05;4.63;Pozitivno;Ne
275;10.5;-15.2;7.2;3.71;Pozitivno;Da
276;11.7;-26.4;6.73;3.86;Pozitivno;Da
277;9.7;-20.6;6.87;4.13;Pozitivno;Da
278;10.8;-17.2;6.94;4.3;Pozitivno;Ne
279;9.6;-28.8;7.25;3.73;Pozitivno;Da
280;9.2;-11.4;6.9;3.84;Pozitivno;Da
281;13.0;-22.0;6.69;4.22;Pozitivno;Ne
282;14.0;-21.9;7.12;3.67;Pozitivno;Ne
283;7.9;-17.9;7.35;3.72;Pozitivno;Da
284;18.3;-29.4;7.24;3.96;Pozitivno;Da
285;5.4;-19.8;6.84;3.49;Pozitivno;Da
286;5.6;-23.8;7.03;3.83;Pozitivno;Da
287;11.3;-22.7;6.85;3.53;Pozitivno;Da
288;7.4;-14.6;7.04;4.96;Pozitivno;Da
289;11.4;-20.6;6.92;3.7;Pozitivno;Da
290;10.0;-13.8;6.68;3.25;Pozitivno;Da
291;12.2;-17.3;6.82;4.47;Negativno;Da
292;8.4;-27.3;7.2;2.42;Negativno;Da
293;9.8;-27.3;6.74;4.3;Pozitivno;Da
294;17.3;-22.7;7.31;3.24;Pozitivno;Da
295;11.9;-23.4;6.93;4.64;Pozitivno;Da
296;8.4;-23.3;6.86;3.49;Pozitivno;Da
297;13.4;-18.4;7.06;4.28;Pozitivno;Da
298;11.3;-17.4;7.36;3.85;Negativno;Da
299;3.6;-24.1;7.28;4.22;Pozitivno;Da
300;16.5;-19.6;7.2;3.52;Pozitivno;Ne
301;8.7;-19.5;6.74;3.54;Pozitivno;Da
302;11.8;-17.2;6.92;4.4;Pozitivno;Da
303;11.2;-20.2;6.8;4.13;Pozitivno;Ne
304;14.3;-24.1;7.22;3.65;Pozitivno;Ne
305;14.4;-23.8;6.93;4.36;Pozitivno;Da
306;10.3;-26.1;7.18;3.67;Pozitivno;Da
307;13.9;-17.8;7.25;3.89;Pozitivno;Da
308;8.7;-18.8;7.16;4.88;Pozitivno;Da
309;9.6;-18.2;6.49;3.61;Pozitivno;Da
310;11.2;-20.0;6.85;4.07;Negativno;Da
311;16.0;-22.0;7.0;4.59;Pozitivno;Da
312;9.5;-22.3;6.99;3.75;Pozitivno;Da
313;14.2;-15.5;7.31;4.01;Pozitivno;Da
314;15.4;-25.9;7.02;3.48;Negativno;Da
315;11.8;-19.1;7.09;3.77;Pozitivno;Da
316;16.2;-16.0;7.18;3.41;Pozitivno;Da
317;14.7;-24.8;7.39;4.54;Pozitivno;Da
318;11.7;-24.4;6.88;4.08;Pozitivno;Da
319;10.2;-18.6;7.23;3.36;Pozitivno;Da
320;14.7;-23.7;6.61;3.75;Pozitivno;Ne
321;5.6;-26.5;6.75;4.44;Pozitivno;Ne
322;9.0;-13.6;7.1;4.04;Pozitivno;Da
323;13.6;-24.8;6.86;4.29;Pozitivno;Da
324;10.4;-16.1;7.42;4.12;Pozitivno;Da
325;9.2;-14.3;7.21;3.59;Pozitivno;Da
326;10.4;-20.1;6.94;4.03;Pozitivno;Da
327;12.1;-9.9;7.19;4.0;Pozitivno;Da
328;11.1;-22.6;7.08;3.88;Pozitivno;Da
329;13.4;-21.3;7.37;4.14;Pozitivno;Da
330;13.8;-16.5;7.09;3.55;Pozitivno;Da
331;15.7;-21.8;7.11;3.11;Pozitivno;Da
332;10.3;-13.9;6.73;4.13;Pozitivno;Da
333;13.0;-11.0;6.8;3.96;Pozitivno;Da
334;16.0;-21.4;6.74;3.87;Pozitivno;Ne
335;8.5;-23.7;6.89;3.98;Pozitivno;Da
336;11.6;-19.9;7.01;3.32;Pozitivno;Ne
337;12.6;-26.4;6.77;5.2;Pozitivno;Da
338;15.5;-16.6;6.95;4.02;Pozitivno;Da
339;8.9;-16.3;7.13;4.34;Pozitivno;Da
340;15.8;-14.6;6.97;3.31;Pozitivno;Da
341;6.1;-19.6;6.99;4.27;Pozitivno;Da
342;13.1;-9.6;7.25;4.62;Pozitivno;Da
343;16.4;-22.9;6.87;3.43;Pozitivno;Da
344;10.4;-14.2;6.86;4.19;Pozitivno;Da
345;10.6;-17.1;6.92;3.84;Pozitivno;Da
346;11.1;-22.3;7.22;4.8;Pozitivno;Da
347;9.5;-19.9;6.92;3.7;Pozitivno;Da
348;16.2;-29.1;7.0;2.86;Pozitivno;Da
349;11.7;-14.8;7.28;4.89;Pozitivno;Ne
350;8.8;-19.9;7.13;3.78;Pozitivno;Da
351;15.3;-25.7;6.9;3.59;Pozitivno;Da
352;6.5;-17.6;7.12;4.43;Pozitivno;Da
353;7.4;-16.2;7.17;3.73;Pozitivno;Da
354;9.0;-25.6;6.82;4.1;Pozitivno;Ne
355;14.0;-18.6;6.76;3.78;Pozitivno;Da
356;10.6;-24.8;7.25;3.88;Pozitivno;Da
357;15.4;-23.8;7.11;3.8;Pozitivno;Ne
358;10.9;-25.0;6.94;3.63;Pozitivno;Da
359;14.8;-25.7;7.03;4.11;Pozitivno;Da
360;9.3;-26.5;6.68;4.17;Pozitivno;Ne
361;11.9;-13.5;7.0;5.16;Pozitivno;Da
362;13.0;-18.5;6.8;4.51;Pozitivno;Ne
363;10.2;-9.4;6.9;4.98;Negativno;Da
364;12.1;-18.5;6.86;3.17;Pozitivno;Da
365;10.6;-22.6;6.91;4.52;Pozitivno;Ne
366;17.6;-9.5;7.02;4.44;Pozitivno;Da
367;19.1;-18.0;6.81;3.58;Pozitivno;Ne
368;15.2;-21.3;7.12;4.83;Negativno;Ne
369;8.6;-20.2;7.02;3.77;Pozitivno;Da
370;12.7;-17.0;7.12;3.33;Pozitivno;Da
371;9.9;-21.0;7.16;4.49;Negativno;Ne
372;13.4;-22.2;7.12;5.47;Pozitivno;Da
373;10.5;-13.6;6.92;3.89;Pozitivno;Da
374;12.7;-24.6;7.05;4.14;Pozitivno;Da
375;13.3;-13.8;6.77;3.12;Pozitivno;Da
376;16.5;-19.5;6.72;3.6;Pozitivno;Da
377;11.1;-20.0;7.05;4.5;Pozitivno;Da
378;11.2;-11.4;7.06;4.18;Negativno;Da
379;15.7;-13.1;6.77;4.46;Pozitivno;Ne
380;13.0;-17.5;7.01;3.85;Pozitivno;Da
381;15.6;-20.0;7.11;3.65;Negativno;Da
382;14.0;-14.8;6.74;4.54;Negativno;Da
383;14.3;-19.7;7.0;3.8;Pozitivno;Da
384;17.0;-16.1;7.04;4.24;Pozitivno;Da
385;12.6;-30.0;6.68;4.94;Pozitivno;Da
386;9.6;-26.2;6.9;2.71;Pozitivno;Da
387;13.7;-18.6;7.06;4.4;Pozitivno;Da
388;9.0;-25.0;7.25;3.98;Pozitivno;Ne
389;7.6;-20.3;7.22;3.79;Pozitivno;Ne
390;10.5;-26.1;6.77;3.69;Pozitivno;Da
391;14.1;-21.1;7.11;4.76;Pozitivno;Da
392;11.7;-17.0;7.22;3.78;Pozitivno;Da
393;12.0;-28.5;7.19;4.56;Pozitivno;Da
394;10.1;-23.4;6.84;4.29;Negativno;Da
395;16.5;-11.4;6.92;4.26;Pozitivno;Ne
396;11.9;-25.3;6.88;4.23;Pozitivno;Da
397;10.6;-19.6;7.13;4.43;Pozitivno;Da
398;7.4;-23.3;6.99;3.7;Negativno;Da
399;14.1;-14.0;6.9;3.92;Pozitivno;Da
400;11.3;-13.0;6.93;3.56;Pozitivno;Da
401;12.7;-23.0;7.07;4.44;Pozitivno;Da
402;7.2;-19.2;7.06;3.64;Pozitivno;Da
403;6.7;-20.5;7.12;4.42;Pozitivno;Ne
404;13.0;-24.1;6.71;4.42;Negativno;Ne
405;5.1;-20.3;6.88;3.88;Pozitivno;Da
406;10.5;-14.1;6.82;4.03;Pozitivno;Ne
407;16.7;-13.4;7.54;3.79;Pozitivno;Da
408;12.5;-14.9;6.71;4.04;Pozitivno;Ne
409;13.1;-15.2;6.82;4.69;Pozitivno;Da
410;6.0;-15.7;6.85;4.13;Pozitivno;Da
411;13.1;-19.7;6.96;3.88;Pozitivno;Da
412;13.0;-19.5;6.7;3.72;Pozitivno;Da
413;14.5;-23.8;7.16;4.06;Pozitivno;Da
414;11.0;-31.8;6.83;4.27;Pozitivno;Da
415;10.1;-10.9;6.78;3.78;Pozitivno;Da
416;13.5;-19.9;7.03;3.2;Pozitivno;Da
417;11.7;-23.1;7.18;4.0;Pozitivno;Da
418;17.4;-14.7;7.34;4.6;Negativno;Da
419;9.0;-15.1;6.77;5.18;Pozitivno;Da
420;7.7;-22.4;6.98;4.39;Pozitivno;Da
421;10.0;-24.8;6.72;3.24;Pozitivno;Da
422;17.2;-19.8;6.99;4.12;Negativno;Da
423;11.7;-14.2;7.15;3.69;Pozitivno;Da
424;13.3;-18.3;7.26;3.38;Pozitivno;Da
425;10.3;-25.2;7.07;3.94;Pozitivno;Ne
426;18.9;-18.9;6.91;4.16;Pozitivno;Da
427;17.7;-23.1;6.91;4.28;Negativno;Da
428;13.7;-25.1;6.9;4.69;Pozitivno;Da
429;9.8;-31.9;6.99;3.91;Negativno;Da
430;10.0;-18.6;6.68;4.33;Negativno;Da
431;9.9;-19.9;7.06;3.63;Pozitivno;Da
432;13.9;-20.6;6.95;3.8;Pozitivno;Da
433;13.2;-21.1;7.18;3.99;Pozitivno;Ne
434;10.0;-21.7;7.13;3.58;Pozitivno;Da
435;13.3;-22.4;6.93;3.57;Pozitivno;Da
436;12.5;-18.9;7.45;3.82;Pozitivno;Ne
437;16.2;-23.8;6.74;3.63;Pozitivno;Da
438;13.2;-22.5;7.18;3.66;Pozitivno;Da
439;8.2;-15.5;7.06;4.83;Pozitivno;Ne
440;11.0;-25.4;6.98;3.76;Negativno;Ne
441;8.3;-17.3;6.68;3.74;Pozitivno;Da
442;10.8;-20.9;6.84;4.33;Pozitivno;Da
443;9.8;-24.3;7.02;3.82;Pozitivno;Da
444;8.5;-14.4;6.81;3.43;Pozitivno;Da
445;14.7;-23.3;6.82;4.06;Pozitivno;Ne
446;13.0;-21.7;7.02;3.84;Pozitivno;Da
447;8.9;-20.7;6.92;4.33;Pozitivno;Da
448;13.4;-20.9;6.85;4.85;Pozitivno;Da
449;8.5;-18.7;6.72;3.85;Pozitivno;Da
450;15.0;-19.8;7.1;4.85;Pozitivno;Da
451;20.0;-21.6;7.0;3.71;Pozitivno;Da
452;20.6;-16.4;7.0;3.53;Pozitivno;Da
453;19.9;-13.9;6.98;3.88;Pozitivno;Da
454;21.9;-18.1;6.76;4.06;Pozitivno;Da
455;22.1;-21.3;7.02;4.25;Pozitivno;Ne
456;18.1;-10.9;6.88;3.3;Pozitivno;Ne
457;17.5;-17.5;6.71;3.48;Pozitivno;Da
458;20.8;-21.8;7.3;2.66;Pozitivno;Da
459;17.2;-14.2;7.03;3.83;Pozitivno;Ne
460;17.4;-21.2;7.11;3.31;Pozitivno;Ne
461;24.9;-21.7;7.29;4.14;Pozitivno;Da
462;15.1;-22.8;6.96;3.82;Negativno;Ne
463;22.3;-24.3;6.89;3.94;Negativno;Da
464;32.7;-19.9;6.99;3.6;Pozitivno;Da
465;11.3;-27.7;7.06;3.22;Pozitivno;Da
466;19.3;-27.1;6.65;4.4;Pozitivno;Ne
467;26.2;-17.5;6.72;3.77;Pozitivno;Ne
468;23.0;-29.8;7.06;3.07;Pozitivno;Ne
469;22.8;-26.3;7.03;3.38;Pozitivno;Da
470;23.9;-23.1;6.84;3.82;Pozitivno;Da
471;19.3;-24.4;6.95;3.34;Pozitivno;Da
472;15.4;-19.9;6.95;3.34;Pozitivno;Da
473;18.5;-18.4;6.64;3.95;Pozitivno;Ne
474;15.1;-18.6;6.91;3.85;Pozitivno;Da
475;16.1;-23.5;6.99;3.75;Pozitivno;Da
476;21.6;-20.0;6.95;3.31;Pozitivno;Ne
477;24.2;-20.2;7.15;2.75;Pozitivno;Ne
478;21.7;-21.8;7.38;4.24;Pozitivno;Da
